1,1427,1041.00,36.00,110.00,274.00,1,-1,-1,-1
1,1426,699.00,97.00,113.00,279.00,1,-1,-1,-1
2,1427,1048.26,35.91,106.47,273.19,1,-1,-1,-1
2,1426,705.81,101.47,111.38,277.06,1,-1,-1,-1
3,1427,1050.41,36.71,107.53,276.24,1,-1,-1,-1
3,1426,708.19,102.47,110.15,274.53,1,-1,-1,-1
4,1427,1047.94,34.37,111.46,283.45,1,-1,-1,-1
4,1426,709.87,104.17,108.81,273.40,1,-1,-1,-1
5,1427,1050.86,40.04,108.26,279.67,1,-1,-1,-1
5,1426,712.40,102.26,108.01,274.64,1,-1,-1,-1
6,1427,1049.54,40.00,110.86,279.66,1,-1,-1,-1
6,1426,715.06,103.57,107.52,272.67,1,-1,-1,-1
7,1427,1057.45,46.14,104.90,269.31,1,-1,-1,-1
7,1426,716.70,101.51,107.80,272.71,1,-1,-1,-1
8,1427,1059.89,48.29,102.67,266.92,1,-1,-1,-1
8,1426,718.02,102.42,108.30,272.26,1,-1,-1,-1
9,1427,1062.57,49.85,100.14,264.35,1,-1,-1,-1
9,1426,720.28,102.29,108.18,270.30,1,-1,-1,-1
10,1427,1065.61,51.09,97.67,260.58,1,-1,-1,-1
10,1426,722.14,99.89,107.92,270.24,1,-1,-1,-1
11,1427,1068.62,51.38,94.17,258.78,1,-1,-1,-1
11,1426,724.17,99.30,106.33,268.30,1,-1,-1,-1
12,1427,1071.49,50.85,92.59,255.29,1,-1,-1,-1
12,1426,726.19,99.01,105.72,264.44,1,-1,-1,-1
13,1427,1073.61,52.18,92.43,256.89,1,-1,-1,-1
13,1426,729.91,99.31,104.75,262.24,1,-1,-1,-1
14,1427,1077.16,53.93,90.05,255.59,1,-1,-1,-1
14,1426,731.49,97.44,104.53,262.80,1,-1,-1,-1
15,1427,1080.32,54.67,90.01,256.22,1,-1,-1,-1
15,1426,735.74,98.97,104.93,261.91,1,-1,-1,-1
16,1427,1082.02,54.47,92.12,256.71,1,-1,-1,-1
16,1426,739.43,97.40,104.71,262.66,1,-1,-1,-1
17,1427,1085.86,54.37,91.00,257.56,1,-1,-1,-1
17,1426,743.81,95.24,104.42,266.11,1,-1,-1,-1
18,1427,1088.64,54.00,91.04,256.54,1,-1,-1,-1
18,1426,744.60,93.92,102.57,265.86,1,-1,-1,-1
19,1427,1089.56,53.07,91.17,257.68,1,-1,-1,-1
19,1426,748.11,92.28,99.89,268.09,1,-1,-1,-1
20,1427,1092.88,51.99,93.01,257.59,1,-1,-1,-1
20,1426,751.85,90.72,95.86,268.92,1,-1,-1,-1
21,1427,1095.60,50.84,93.25,259.00,1,-1,-1,-1
21,1426,755.52,89.26,90.32,269.05,1,-1,-1,-1
22,1427,1097.19,48.42,94.68,262.20,1,-1,-1,-1
22,1426,759.88,85.71,84.77,273.19,1,-1,-1,-1
23,1427,1096.50,46.40,98.29,263.65,1,-1,-1,-1
23,1426,763.21,85.39,79.82,275.39,1,-1,-1,-1
24,1427,1095.93,42.66,102.75,267.51,1,-1,-1,-1
